Date,District,LST,SSM,NDVI
2018-01-01,Agar Malwa,,,2732.24
2018-01-17,Agar Malwa,,,2732.24
2018-01-31,Agar Malwa,,2732.24,
2018-02-02,Agar Malwa,,,2732.24
2018-02-18,Agar Malwa,,,2732.24
2018-02-28,Agar Malwa,,2732.24,
2018-03-06,Agar Malwa,,,2732.24
2018-03-22,Agar Malwa,,,2732.24
2018-04-07,Agar Malwa,,,2732.24
2018-04-23,Agar Malwa,,,2732.24
2018-04-30,Agar Malwa,,2732.24,
2018-05-09,Agar Malwa,,,2732.24
2018-05-25,Agar Malwa,,,2732.24
2018-05-31,Agar Malwa,,2732.24,
2018-06-10,Agar Malwa,,,2732.24
2018-06-26,Agar Malwa,,,2732.24
2018-06-30,Agar Malwa,,2732.24,
2018-07-31,Agar Malwa,,2732.24,
2018-08-31,Agar Malwa,,2732.24,
2018-09-30,Agar Malwa,,2732.24,
2018-10-31,Agar Malwa,,2732.24,
2018-11-30,Agar Malwa,,2732.24,
2018-12-31,Agar Malwa,,2732.24,
2018-01-01,Alirajpur,,,3336.86
2018-01-17,Alirajpur,,,3336.86
2018-01-31,Alirajpur,,3336.86,
2018-02-02,Alirajpur,,,3336.86
2018-02-18,Alirajpur,,,3336.86
2018-02-28,Alirajpur,,3336.86,
2018-03-06,Alirajpur,,,3336.86
2018-03-22,Alirajpur,,,3336.86
2018-04-07,Alirajpur,,,3336.86
2018-04-23,Alirajpur,,,3336.86
2018-04-30,Alirajpur,,3336.86,
2018-05-09,Alirajpur,,,3336.86
2018-05-25,Alirajpur,,,3336.86
2018-05-31,Alirajpur,,3336.86,
2018-06-10,Alirajpur,,,3336.86
2018-06-26,Alirajpur,,,3336.86
2018-06-30,Alirajpur,,3336.86,
2018-07-31,Alirajpur,,3336.86,
2018-08-31,Alirajpur,,3336.86,
2018-09-30,Alirajpur,,3336.86,
2018-10-31,Alirajpur,,3336.86,
2018-11-30,Alirajpur,,3336.86,
2018-12-31,Alirajpur,,3336.86,
2018-01-01,Anuppur,,,3773.49
2018-01-17,Anuppur,,,3773.49
2018-01-31,Anuppur,,3773.49,
2018-02-02,Anuppur,,,3773.49
2018-02-18,Anuppur,,,3773.49
2018-02-28,Anuppur,,3773.49,
2018-03-06,Anuppur,,,3773.49
2018-03-22,Anuppur,,,3773.49
2018-04-07,Anuppur,,,3773.49
2018-04-23,Anuppur,,,3773.49
2018-04-30,Anuppur,,3773.49,
2018-05-09,Anuppur,,,3773.49
2018-05-25,Anuppur,,,3773.49
2018-05-31,Anuppur,,3773.49,
2018-06-10,Anuppur,,,3773.49
2018-06-26,Anuppur,,,3773.49
2018-06-30,Anuppur,,3773.49,
2018-07-31,Anuppur,,3773.49,
2018-08-31,Anuppur,,3773.49,
2018-09-30,Anuppur,,3773.49,
2018-10-31,Anuppur,,3773.49,
2018-11-30,Anuppur,,3773.49,
2018-12-31,Anuppur,,3773.49,
2018-01-31,Araria,2790.366,,
2018-02-28,Araria,2790.366,,
2018-03-31,Araria,2790.366,,
2018-04-30,Araria,2790.366,,
2018-05-31,Araria,2790.366,,
2018-06-30,Araria,2790.366,,
2018-07-31,Araria,2790.366,,
2018-08-31,Araria,2790.366,,
2018-09-30,Araria,2790.366,,
2018-10-31,Araria,2790.366,,
2018-11-30,Araria,2790.366,,
2018-12-31,Araria,2790.366,,
2018-01-31,Arwal,637.821,,
2018-02-28,Arwal,637.821,,
2018-03-31,Arwal,637.821,,
2018-04-30,Arwal,637.821,,
2018-05-31,Arwal,637.821,,
2018-06-30,Arwal,637.821,,
2018-07-31,Arwal,637.821,,
2018-08-31,Arwal,637.821,,
2018-09-30,Arwal,637.821,,
2018-10-31,Arwal,637.821,,
2018-11-30,Arwal,637.821,,
2018-12-31,Arwal,637.821,,
2018-01-01,Ashoknagar,,,4736.42
2018-01-17,Ashoknagar,,,4736.42
2018-01-31,Ashoknagar,,4736.42,
2018-02-02,Ashoknagar,,,4736.42
2018-02-18,Ashoknagar,,,4736.42
2018-02-28,Ashoknagar,,4736.42,
2018-03-06,Ashoknagar,,,4736.42
2018-03-22,Ashoknagar,,,4736.42
